stop_code,stop_id,stop_lat,stop_lon,stop_name,zone_id
DC4899,13104,28.81707,76.97345,Mungesh Pur Village,13104
DC4900,13105,28.80981,76.96862,Jawahar Navodya School,13105
DC4901,13106,28.80613,76.96605,Katewra Crossing,13106
U99930ASTL,13107,28.577368,77.108868,Indian Oil Station,13107
DC3643,13108,28.579554,77.101708,Prehlad Pur,13108
U00836,13109,28.58133,77.09573,Palam Colony Flyover,13109
DC3645,13110,28.583825,77.091504,Dwarka Flyover Palam Village,13110
U02756,13111,28.592467,77.228717,Dayal Singh College,13111
U02747,13112,28.5978,77.228467,Bharti Nagar,13112
U02742,13113,28.599217,77.2284,Sujan Singh Park,13113
U99894A,13114,28.647358,77.11605,Tagore Garden (Gurudwara Road),13114
DC0092,13115,28.650417,77.113733,Tagore Garden Gurudwara / Holy Child School,13115
DC0088,13116,28.652281,77.1075701,Raghubir Nagar F Block,13116
DC3976,13117,28.673528444998745,77.26997563068018,Seelampur Market Zafrabad Road,13117
DC3977,13118,28.676117,77.271317,Zafrabad,13118
DC3978,13119,28.6783,77.272583,Madarsa / Welcome Seelam Pur,13119
DC3979,13120,28.68426,77.275224,Zafrabad School,13120
DC4059,13121,28.690727,77.278602,Babarpur Ext / Maujpur Crossing,13121
DC4961,13122,28.69202,77.27931,Maujpur Metro Station,13122
DC4480,13123,28.554056,77.050407,Bharthal Chowk (Bharthal Road),13123
DC4477,13124,28.543055,77.043846,Bharthal Village (Shyam Mandir),13124
DC4576,13125,28.55245,76.9029,Malik Pur Village,13125
U01879,13126,28.564222,77.179815,RK Puram Sec-1,13126
DC5319,13127,28.822067,77.185018,Sungar Pur,13127
DC5321,13128,28.822018,77.188471,Tiggi Pur Village,13128
U00667,13129,28.703137852548466,77.07523840120646,Sultanpuri Terminal,13129
U00650,13130,28.6935,77.073,Sultan Puri AB Block,13130
DC3698,13131,28.646361,77.084243,CRPF Camp Keshopur,13131
U03281,13132,28.672683,77.279167,Welcome Colony,13132
U02771,13133,28.665274,77.230212,ISBT Kashmere Gate,13133
U02878,13134,28.6400333333333,77.2380333333333,Delhi Gate (JLN Marg),13134
DC0075,13135,28.542,77.2308,Chirag Dilli,13135
U00002,13136,28.56246,76.843123,Dhansa Border (T),13136
U00004,13137,28.557785,76.862694,Dhansa School,13137
U00009,13138,28.557811,76.867335,Dhansa Village,13138
DC5167,13139,28.669369,77.163949,Zakhira (Rohtak Road),13139
DC5339,13140,28.67225,77.0936,Bhairon Enclave,13140
DC4974,13141,28.833283,77.10825,B-4 Pocket 6 Narela,13141
DC4975,13142,28.837384,77.110644,B-4 Police Colony Narela,13142
DC5402,13143,28.732218,77.170887,C-D Block Jahangir Puri,13143
U01681,13144,28.7293,77.1662,Jahangirpuri B Block,13144
U01657,13145,28.7285,77.1648,Jahangirpuri A-Block,13145
U00403,13146,28.7314,77.0328,Karala Village,13146
U03722,13147,28.6146,77.3213,Kalyanpuri Crossing (Ghazipur Road),13147
DC3681,13148,28.620867,77.32055,Gazi Pur Dairy Farm,13148
DC3680,13149,28.6229,77.319767,Gazi Pur DDA Flats,13149
DC5256,13150,28.819892,77.063398,Sannoth Crossing / Ghoga Crossing,13150
DC5254,13151,28.83062,77.04927,Ghoga Village,13151
DC4615,13152,28.726417,77.126433,ESI Hospital,13152
DC4616,13153,28.729867,77.121483,Rohini Depot-II,13153
DC4617,13154,28.733817,77.115767,Rohini Sec-11 (Aggarwal Sabha),13154
DC4618,13155,28.738683,77.117333,Rohini Sec 17A,13155
DC0038,13156,28.7271,77.0986,Sec-24 Rohini Main Road,13156
DC0024,13157,28.697411,77.15723,Prembari Pul,13157
U02255,13158,28.653054,77.202311,Guru Govind Singh Crossing (Faiz Road),13158
DC4359,13159,28.691467,77.10095,West Enclave / Sansad Vihar (T),13159
U01202,13160,28.706807,77.126917,Fire Station Rohini Sec 8,13160
DC5456,13161,28.800643,77.084064,Holambi Crossing,13161
U00646A,13162,28.682262565530817,77.05939514761658,Nangloi JJ Colony Lokesh Cinema,13162
U03688,13163,28.6458894,77.3172575,ISBT Anand Vihar,13163
U01763,13164,28.7330833333333,77.17265,E Block Jahangir Puri Terminal,13164
DC4310,13165,28.699534,77.134953,Kapil Vihar,13165
DC4308,13166,28.697529,77.134098,DTC Apartments,13166
DC4306,13167,28.694734,77.134755,Harsh Vihar,13167
DC4303,13168,28.692699,77.135213,Lok Vihar,13168
DC4302,13169,28.689203,77.135521,Chander Lok,13169
DC4299,13170,28.686426,77.136168,Road No-44 Crossing,13170
DC4298,13171,28.684076,77.136129,Mahindra Park Road No-44,13171
U01250,13172,28.638517,77.129833,Maya Puri Crossing Ring Road,13172
U01052,13173,28.620483,77.110683,Maya Enclave BSES Office,13173
U01936,13174,28.657883,77.183367,Anand Parvat Terminal,13174
U01550,13175,28.681367,77.155417,Jai Mata Market Tri Nagar Terminal,13175
DC3926,13176,28.683217,77.15435,A-1 Keshav Puram,13176
DC3927,13177,28.6868,77.153933,C-2 Keshav Puram,13177
U01539,13178,28.6904,77.154983,C-4 Keshav Puram,13178
U01590,13179,28.689217,77.159333,C-8 Keshav Puram,13179
U01014MPS,13180,28.69465,77.10618,Mangol Pur School (Outer Ring Road),13180
U00525,13181,28.603835,77.055125,Rajapuri,13181
DC5322,13182,28.821909,77.188343,Tiggi Pur Village,13182
DC5320,13183,28.82197,77.185064,Sungar Pur,13183
U01686,13184,28.678733,77.166367,Shanti Nagar / Tri Nagar,13184
U01492,13185,28.693815,77.151074,Wazirpur DTC Depot / Netaji Subhash Palace,13185
DC4761,13186,28.662386,76.953579,Jharoda Nala Crossing,13186
DC4763,13187,28.666525,76.954305,Baba Haridass Gitanjali Enclave,13187
DC4765,13188,28.670981,76.960052,Fire Station Tikri Village,13188
DC4767,13189,28.68246,76.964704,Tikri Kalan Village,13189
DC4769,13190,28.687166,76.964812,Tikri Border,13190
U01189,13191,28.546701,77.125039,Mahipal Pur Crossing / Ext,13191
U01223,13192,28.545123,77.127987,Mahipal Pur Village,13192
DC3790,13193,28.540177,77.131068,SecE-2 Pkt 12 Vasant Kunj,13193
U01340,13194,28.537962,77.137332,Rang Puri Pahari,13194
